sales_week,sales_date,transaction_id,year,make,model_id,model,drive_type,door,transmission,base_msrp,engine,transaction_msrp,destination,bodytype,zip,State,dealercash,customercash,finance,lease,cash,trim,trim_id,make_id,longitude,latitude,price,diff
07NOV2009,07NOV2009,59217611,2010,Toyota,61971,4Runner,4WD,4,Automatic,32045,4.0L DOHC 24-valve VVT-i V6 engine,32855,810,SUV,33544,FL,0,0,1,0,0,4WD 4dr V6 SR5 (Natl),1635848,1644,-82.319078,28.269457,65710.0,33665.0
01MAY2010,01MAY2010,622228242,2010,Ford,62652,Explorer,4WD,4,Automatic,33520,3.5L Ti-VCT V6 engine,34345,825,SUV,75061,TX,0,0,1,0,0,4WD 4dr XLT,1647388,1924,-96.953242,32.824483,68690.0,35170.0
12DEC2009,12DEC2009,174711621,2009,Ford,58029,F-150,4WD,4,Automatic,44250,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),45225,975,Truck,80545,CO,0,1500,1,0,0,"4WD SuperCrew 145"" King Ranch",1584478,1924,-105.593375,40.804665,90450.0,46200.0
24OCT2009,24OCT2009,10179750,2009,Ford,58029,F-150,RWD,2,Automatic,22060,4.6L 2V EFI V8 engine,23035,975,Truck,7643,NJ,0,1000,0,1,0,"2WD Reg Cab 126"" XL",1584228,1924,-74.043006,40.847729,46070.0,24010.0
09JAN2010,09JAN2010,276394227,2010,Lexus,62766,IS 250,RWD,4,Automatic,34465,2.5L 24-valve direct injection V6 engine -inc: dual variable valve timing w/intelligence (VVT-i),35340,875,Sedan,92870,CA,0,0,0,1,0,4dr Sport Sdn Auto RWD,1648403,2127,-117.85426899999999,33.874415,70680.0,36215.0
12DEC2009,12DEC2009,178412068,2010,Toyota,61212,Tacoma,RWD,2,Automatic,22750,4.0L DOHC EFI 24-valve V6 VVT-i engine,24010,810,Truck,33474,FL,0,0,1,0,0,2WD Access V6 AT PreRunner (Natl),1625118,1644,-80.08211700000001,26.526563,48020.0,25270.0
27MAR2010,27MAR2010,518200931,2009,Chevrolet,58506,Silverado 1500,4WD,2,Automatic,38430,"Engine, Vortec 5.3L Variable Valve Timing V8 SFI FlexFuel capable of running on unleaded or up to 85% ethanol (with gas - 315 hp [234.8 kW] @ 5200 rpm, 335 lb-ft of torque [452.2 N-m] @ 4000 rpm, with E85 ethanol - 326 hp [243.1 kW] @ 5300 rpm, 348 lb-ft of torque [469.8 N-m] @ 4400 rpm), aluminum block (Requires CK10543 or CK10753 models.)",39425,995,Truck,92382,CA,0,3000,1,0,0,"4WD Ext Cab 143.5"" LTZ",1593373,1786,-117.104968,34.206744,78850.0,40420.0
27FEB2010,27FEB2010,415297691,2010,Ford,62934,F-150,RWD,4,Automatic,31490,5.0L V8 FFV engine,34435,995,Truck,11560,NY,0,0,0,1,0,"2WD SuperCrew 157"" XL",1650798,1924,-73.61142,40.8771,68870.0,37380.0
03APR2010,03APR2010,544991173,2010,Kia,62631,Soul,FWD,4,Manual,13300,1.6L DOHC MPI CVVT I4 engine,16795,695,Wagon,49088,MI,0,0,1,0,0,5dr Wgn Man,1647323,1495,-85.421776,42.186704,33590.0,20290.0
17APR2010,17APR2010,590438810,2010,Toyota,60384,Camry,FWD,4,Automatic,22700,2.5L 4-cyl engine w/VVT-i,23885,760,Sedan,32099,FL,1000,750,1,0,0,4dr Sdn I4 Auto LE (Natl),1613383,1644,-81.770917,30.33493,47770.0,25070.0
08MAY2010,08MAY2010,654212442,2010,Honda,62856,Odyssey,FWD,4,Automatic,41030,3.5L SOHC MPFI 24-valve i-VTEC V6 engine,41840,810,Van,34224,FL,0,0,0,0,1,5dr Touring,1650398,1620,-82.30264100000001,26.925390000000004,83680.0,42650.0
02JAN2010,02JAN2010,228100865,2010,Kia,63183,Forte,FWD,4,Automatic,17395,2.0L DOHC MPI CVVT I4 engine,18990,695,Sedan,37215,TN,0,0,1,0,0,4dr Sdn Auto EX,1653053,1495,-86.824688,36.093978,37980.0,20585.0
13MAR2010,13MAR2010,468716118,2010,Honda,62850,Accord Sedan,FWD,4,Automatic,23180,2.4L DOHC MPFI 16-valve i-VTEC I4 engine,26200,770,Sedan,95640,CA,0,0,1,0,0,4dr I4 Auto LX-P,1649563,1620,-120.93278899999999,38.329832,52400.0,29220.0
17APR2010,17APR2010,575924550,2010,Hyundai,60726,Sonata,FWD,4,Automatic,20395,2.4L DOHC 16-valve I4 GDI engine,21970,750,Sedan,44093,OH,1000,0,0,1,0,4dr Sdn 2.4L Auto GLS *Ltd Avail*,1619403,1557,-80.60919200000001,41.528936,43940.0,23545.0
02JAN2010,02JAN2010,255316806,2009,Chevrolet,58353,Tahoe,4WD,4,Automatic,44980,"Engine, Vortec 5.3L V8 SFI FlexFuel with Active Fuel Management, capable of running on unleaded or up to 85% ethanol (with gas - 320 hp [238.6 kW] @ 5400 rpm, 335 lb-ft of torque [452.2 N-m] @ 4000 rpm, with E85 ethanol - 326 hp [243.1 kW] @ 5300 rpm, 348 lb-ft of torque [469.8 N-m] @ 4400 rpm), iron block",45930,950,SUV,45132,OH,0,2000,1,0,0,4WD 4dr 1500 LT,1590673,1786,-83.602314,39.346947,91860.0,46880.0
17APR2010,17APR2010,580785560,2010,Honda,62850,Accord Sedan,FWD,4,Automatic,27555,2.4L DOHC MPFI 16-valve i-VTEC I4 engine,28325,770,Sedan,10309,NY,0,0,1,0,0,4dr I4 Auto EX-L,1649598,1620,-74.213351,40.530762,56650.0,29095.0
05DEC2009,05DEC2009,152493115,2009,Toyota,58323,FJ Cruiser,4WD,4,Manual,25360,4.0L DOHC SFI 24-valve V6 engine w/VVT-i,26170,810,SUV,55307,MN,0,0,1,0,0,4WD 4dr Man (Natl),1583013,1644,-94.078182,44.604877,52340.0,26980.0
02JAN2010,02JAN2010,257130444,2010,Toyota,60384,Camry,FWD,4,Automatic,22700,2.5L 4-cyl engine w/VVT-i,23460,760,Sedan,91204,CA,0,0,1,0,0,4dr Sdn I4 Auto LE (Natl),1613383,1644,-118.262119,34.13345,46920.0,24220.0
24OCT2009,24OCT2009,20498426,2010,Ford,62019,Fusion,FWD,4,Automatic,27150,3.5L 24V V6 Duratec engine,29620,795,Sedan,75173,TX,0,0,1,0,0,4dr Sdn SPORT FWD,1636543,1924,-96.379449,33.057445,59240.0,32090.0
26DEC2009,26DEC2009,210832665,2010,Honda,61269,Pilot,4WD,4,Automatic,40670,3.5L SOHC MPFI 24-valve i-VTEC V6 engine,42605,810,SUV,23327,VA,0,0,0,0,1,4WD 4dr Touring w/RES & Navi,1625398,1620,-76.23000400000001,36.739387,85210.0,44540.0
26DEC2009,26DEC2009,213299071,2009,Ford,58029,F-150,4WD,4,Automatic,44550,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),47575,975,Truck,90631,CA,0,1500,0,1,0,"4WD SuperCrew 157"" King Ranch",1584513,1924,-117.95442,33.94104,95150.0,50600.0
20MAR2010,20MAR2010,497703476,2010,Hyundai,62349,Tucson,FWD,4,Automatic,21995,2.4L DOHC MPI 16-valve CVVT I4 engine,23790,795,SUV,7480,NJ,0,0,1,0,0,FWD 4dr Auto GLS,1664888,1557,-74.369917,41.090615,47580.0,25585.0
27MAR2010,27MAR2010,517875610,2010,Chevrolet,60684,Traverse,FWD,4,Automatic,29370,"Engine, 3.6L SIDI V6 (281 hp [210 kW] @ 6300 rpm, 266 lb-ft of torque @ 3400 rpm [359.1 N-m])",30180,810,SUV,78104,TX,0,0,0,1,0,FWD 4dr LS,1620928,1786,-97.760692,28.410829999999997,60360.0,30990.0
07NOV2009,07NOV2009,73505455,2009,Ford,58029,F-150,4WD,4,Automatic,39615,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),41665,975,Truck,77088,TX,0,2000,0,1,0,"4WD SuperCrew 145"" Lariat",1584473,1924,-95.453243,29.880263,83330.0,43715.0
24OCT2009,24OCT2009,15454936,2009,Ford,58029,F-150,4WD,4,Automatic,39615,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),40590,975,Truck,94402,CA,0,2000,1,0,0,"4WD SuperCrew 145"" Lariat",1584473,1924,-122.32993300000001,37.546271999999995,81180.0,41565.0
20FEB2010,20FEB2010,393974583,2010,Jeep,62460,Wrangler Unlimited,4WD,4,Manual,33320,3.8L OHV 12-valve SMPI V6 engine,36295,800,SUV,79916,TX,0,0,1,0,0,4WD 4dr Rubicon,1645563,1832,-106.179974,31.944107000000002,72590.0,39270.0
31OCT2009,31OCT2009,45466764,2009,Ford,58029,F-150,RWD,4,Automatic,41405,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),43305,975,Truck,1705,MA,0,2000,1,0,0,"2WD SuperCrew 157"" King Ranch",1584363,1924,-71.439495,42.32025,86610.0,45205.0
05DEC2009,05DEC2009,142624073,2009,Ford,58029,F-150,4WD,4,Automatic,44250,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),45225,975,Truck,92655,CA,0,1500,0,0,1,"4WD SuperCrew 145"" King Ranch",1584478,1924,-117.984,33.744616,90450.0,46200.0
06FEB2010,06FEB2010,349142918,2010,Ford,62934,F-150,4WD,4,Automatic,36825,5.0L V8 FFV engine,39720,995,Truck,90290,CA,0,0,0,1,0,"4WD SuperCrew 157"" XLT",1650943,1924,-118.60409399999999,34.104396,79440.0,42615.0
10APR2010,10APR2010,564421470,2010,Ford,62934,F-150,4WD,2,Automatic,30180,5.0L V8 FFV engine (REQ: 535 Trailer Tow Pkg),34025,995,Truck,85004,AZ,0,0,1,0,0,"4WD SuperCab 163"" XL w/HD Payload Pkg",1650888,1924,-112.06756000000001,33.450503999999995,68050.0,37870.0
27FEB2010,27FEB2010,414802189,2009,Ford,58029,F-150,4WD,4,Automatic,46570,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),47545,975,Truck,23114,VA,0,2000,1,0,0,"4WD SuperCrew 157"" Platinum",1584518,1924,-77.64375,37.456175,95090.0,48520.0
28NOV2009,28NOV2009,131592227,2009,Ford,58029,F-150,RWD,4,Automatic,36770,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),38020,975,Truck,33308,FL,0,1500,1,0,0,"2WD SuperCrew 157"" Lariat",1584358,1924,-80.109298,26.189201,76040.0,39270.0
26DEC2009,26DEC2009,221768576,2010,Lexus,62766,IS 250,RWD,4,Manual,33295,2.5L 24-valve direct injection V6 engine -inc: dual variable valve timing w/intelligence (VVT-i),34170,875,Sedan,74079,OK,0,0,0,1,0,4dr Sport Sdn Man RWD,1648398,2127,-96.7023,35.7603,68340.0,35045.0
08MAY2010,08MAY2010,656699766,2010,Ford,61944,Escape,FWD,4,Automatic,26170,2.5L I4 Duratec engine,26995,825,SUV,21161,MD,0,0,1,0,0,FWD 4dr Limited,1636013,1924,-76.57149,39.65144,53990.0,27820.0
03APR2010,03APR2010,536710772,2010,Honda,62874,Civic Sedan,FWD,4,Automatic,18555,1.8L SOHC MPFI 16-valve i-VTEC I4 engine,19600,770,Sedan,41005,KY,0,0,1,0,0,4dr Auto LX,1649788,1620,-84.747372,39.024812,39200.0,20645.0
13FEB2010,13FEB2010,361531582,2010,Honda,62874,Civic Sedan,FWD,4,Automatic,18555,1.8L SOHC MPFI 16-valve i-VTEC I4 engine,21900,770,Sedan,33142,FL,0,0,1,0,0,4dr Auto LX,1649788,1620,-80.23768100000001,25.811543,43800.0,25245.0
31OCT2009,31OCT2009,48349278,2009,Cadillac,57063,SRX,FWD,4,Automatic,41850,"Engine, 3.0L VVT DOHC V6 SIDI (265 hp [197.6 kW] @ 6950 rpm, 223 lb-ft of torque [201.1 N-m] @ 5100 rpm)",42675,825,SUV,11565,NY,0,0,1,0,0,FWD 4dr Performance Collection,1548698,2223,-73.67100400000001,40.678396,85350.0,43500.0
05DEC2009,05DEC2009,158337615,2010,Hyundai,60726,Sonata,FWD,4,Manual,19395,2.4L DOHC 16-valve I4 GDI engine,20345,750,Sedan,92083,CA,0,0,0,1,0,4dr Sdn 2.4L Man GLS,1664678,1557,-117.23488799999998,33.190177,40690.0,21295.0
28NOV2009,28NOV2009,129408900,2009,Ford,56850,Mustang,RWD,2,Manual,24395,4.0L SOHC V6 engine,25245,850,Coupe,92160,CA,0,1000,1,0,0,2dr Cpe V6 Premium,1545038,1924,-117.0935,32.783954,50490.0,26095.0
17APR2010,17APR2010,581098323,2010,Ford,62934,F-150,4WD,2,Automatic,37765,5.0L V8 FFV engine,38760,995,Truck,95812,CA,0,0,1,0,0,"4WD SuperCab 145"" Lariat",1650883,1924,-121.496349,38.581928999999995,77520.0,39755.0
13MAR2010,13MAR2010,473314347,2009,Ford,58029,F-150,4WD,2,Automatic,28230,4.6L 2V EFI V8 engine -inc: mechanical shift-on-the-fly (MSOF),29655,975,Truck,94027,CA,0,2000,0,1,0,"4WD Reg Cab 126"" STX",1584378,1924,-122.204497,37.456184,59310.0,31080.0
14NOV2009,14NOV2009,91758171,2010,Hyundai,60726,Sonata,FWD,4,Manual,19395,2.4L DOHC 16-valve I4 GDI engine,20145,750,Sedan,78538,TX,0,0,1,0,0,4dr Sdn 2.4L Man GLS,1664678,1557,-97.959,26.309820000000002,40290.0,20895.0
19DEC2009,19DEC2009,194270408,2010,Mazda,62082,Mazda3,FWD,4,Manual,18100,2.0L DOHC EFI 16-valve I4 engine -inc: variable valve timing (VVT),20445,795,Sedan,98386,WA,0,0,0,1,0,4dr Sdn Man i Touring,1638868,1518,-122.50156399999999,47.509454,40890.0,22790.0
13MAR2010,13MAR2010,467924859,2010,Nissan,62208,Altima,FWD,4,Automatic,22430,2.5L DOHC 16-valve I4 engine,23190,760,Sedan,48034,MI,0,0,1,0,0,4dr Sdn I4 CVT 2.5 S,1645848,1676,-83.293772,42.472818,46380.0,23950.0
24OCT2009,24OCT2009,8576047,2009,Ford,58029,F-150,4WD,4,Automatic,38355,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),39330,975,Truck,33563,FL,0,2000,1,0,0,"4WD SuperCrew 145"" FX4",1584468,1924,-82.136482,28.014481,78660.0,40305.0
01MAY2010,01MAY2010,627927559,2010,Toyota,61923,Sequoia,4WD,4,Automatic,61305,5.7L DOHC EFI 32-valve i-Force V8 engine w/dual VVT-i,62765,985,SUV,18068,PA,0,0,0,1,0,4WD LV8 6-Spd AT Platinum (Natl),1634238,1644,-75.52114399999999,40.487427000000004,125530.0,64225.0
19DEC2009,19DEC2009,200778176,2009,Ford,58029,F-150,RWD,4,Automatic,34445,4.6L 3V EFI V8 engine,35420,975,Truck,2109,MA,0,1500,1,0,0,"2WD SuperCrew 157"" FX2 Sport",1584353,1924,-71.05478000000001,42.36796,70840.0,36395.0
24APR2010,24APR2010,612593372,2010,BMW,60891,3 Series,AWD,4,Manual,44050,"3.0-liter, 300-horsepower, dual overhead cam (DOHC), inline 24-valve 6-cylinder engine with aluminum engine block, TwinPower Turbo technology, Valvetronic, piezo direct injection, and Double-VANOS steplessly variable valve timing",46600,875,Sedan,32781,FL,0,1840,1,0,0,4dr Sdn 335i xDrive AWD,1622228,2359,-80.81242900000001,28.535304999999997,93200.0,49150.0
30JAN2010,30JAN2010,337488830,2010,Chevrolet,60858,Malibu,FWD,4,Automatic,27165,"Engine, ECOTEC 2.4L DOHC, 16-valve, 4-cylinder Variable Valve Timing MFI uses gasoline only (169 hp [126.0 kW] @ 6400 rpm, 160 lb-ft of torque [216.0 N-m] @ 4500 rpm) (Standard for Retail order types in all states. Standard for Fleet or Government order types ordering YF5 or NE1 emissions. Not available for Fleet or Government order types in Federal emissions states.)",27925,760,Sedan,63026,MO,0,0,1,0,0,4dr Sdn LTZ,1621913,1786,-90.45679200000001,38.501758,55850.0,28685.0
02JAN2010,02JAN2010,248897014,2010,Acura,62844,MDX,AWD,4,Automatic,42930,3.7L PGM-FI MPI SOHC 24-valve VTEC V6 engine,45840,885,SUV,30028,GA,0,0,0,0,1,AWD 4dr,1649033,1990,-84.13624300000001,34.205991,91680.0,48750.0
30JAN2010,30JAN2010,330377789,2010,Hyundai,60726,Sonata,FWD,4,Automatic,25495,2.4L DOHC 16-valve I4 GDI engine,26845,750,Sedan,28528,NC,0,0,0,0,1,4dr Sdn 2.4L Auto Ltd w/Wine Int *Ltd Avail*,1620383,1557,-76.526421,34.684622,53690.0,28195.0
07NOV2009,07NOV2009,58875210,2009,Toyota,59313,Highlander,4WD,4,Automatic,34670,3.5L DOHC 24-valve VVT-i V6 engine,36180,810,SUV,87045,NM,0,0,1,0,0,4WD 4dr V6  Limited (Natl),1594553,1644,-108.11295700000001,35.342096999999995,72360.0,37690.0
12DEC2009,12DEC2009,177484164,2010,Toyota,60384,Camry,FWD,4,Automatic,22700,2.5L 4-cyl engine w/VVT-i,23460,760,Sedan,48017,MI,0,0,1,0,0,4dr Sdn I4 Auto LE (Natl),1613383,1644,-83.151815,42.535396,46920.0,24220.0
24APR2010,24APR2010,593378923,2010,Scion,60456,tC,FWD,2,Manual,18275,2.5L DOHC SFI 16-valve dual VVT-i I4 engine,19855,730,Hatchback,85205,AZ,0,0,1,0,0,2dr HB Man (Natl),1635263,1416,-111.71458500000001,33.437801,39710.0,21435.0
19DEC2009,19DEC2009,185769093,2009,Ford,58029,F-150,4WD,4,Automatic,35705,4.6L 3V EFI V8 engine -inc: electronic-shift-on-the fly (ESOF),36680,975,Truck,77042,TX,0,1500,0,1,0,"4WD SuperCrew 157"" XLT",1584498,1924,-95.559671,29.746724,73360.0,37655.0
27MAR2010,27MAR2010,523369913,2010,Ram,61977,2500,4WD,4,Automatic,39760,5.7L SMPI V8 Hemi engine w/variable valve timing,40735,975,Truck,77372,TX,0,0,1,0,0,"4WD Mega Cab 160.5"" Lone Star",1636913,2093,-95.15835799999999,30.220285999999998,81470.0,41710.0
21NOV2009,21NOV2009,108571449,2009,Chrysler,58404,Town & Country,FWD,4,Automatic,28625,3.8L OHV SMPI V6 engine (REQ: NAS 50 State Emissions),31935,835,Van,33432,FL,0,1500,1,0,0,4dr Wgn Touring,1585203,1787,-80.092164,26.349490999999997,63870.0,35245.0
09JAN2010,09JAN2010,270712514,2010,Ford,61296,Edge,AWD,4,Automatic,32500,3.5L Ti-VCT V6 Engine,33325,825,Wagon,60932,IL,0,0,1,0,0,4dr SEL AWD,1625863,1924,-87.594217,40.217614000000005,66650.0,34150.0
30JAN2010,30JAN2010,331107910,2010,Infiniti,63060,G37 Coupe,AWD,2,Automatic,40250,3.7L DOHC SMPI 24-valve V6 aluminum engine,42170,895,Coupe,87063,NM,0,0,0,0,1,2dr x AWD,1652188,2160,-106.011354,34.449626,84340.0,44090.0
01MAY2010,01MAY2010,621776840,2010,Ford,62934,F-150,4WD,4,Automatic,36825,5.0L V8 FFV engine,37820,995,Truck,77004,TX,0,0,1,0,0,"4WD SuperCrew 157"" XLT",1650943,1924,-95.366222,29.728205,75640.0,38815.0
24OCT2009,24OCT2009,10503684,2009,Ford,58029,F-150,RWD,2,Automatic,26555,4.6L 2V EFI V8 engine,29905,975,Truck,62950,IL,0,1000,0,0,1,"2WD Reg Cab 145"" XLT",1584248,1924,-89.546002,37.747337,59810.0,33255.0
08MAY2010,08MAY2010,652216406,2010,Scion,60456,tC,FWD,2,Automatic,19275,2.5L DOHC SFI 16-valve dual VVT-i I4 engine,20005,730,Hatchback,77012,TX,0,0,0,1,0,2dr HB Auto (Natl),1635278,1416,-95.201945,29.718212,40010.0,20735.0
13FEB2010,13FEB2010,378088965,2009,Toyota,57207,Prius,FWD,4,Automatic,22800,1.8L DOHC 16-valve VVT-i Atkinson-cycle I4 hybrid engine,23560,760,Hatchback,11701,NY,0,500,1,0,0,5dr HB II (Natl),1550223,1644,-73.41217900000001,40.686293,47120.0,24320.0
30JAN2010,30JAN2010,324922718,2010,Ford,62652,Explorer,FWD,4,Automatic,37535,3.5L Ti-VCT V6 engine,38360,825,SUV,76092,TX,0,0,0,1,0,FWD 4dr Limited,1647378,1924,-97.150453,32.953967999999996,76720.0,39185.0
24OCT2009,24OCT2009,12269203,2010,Buick,60807,Enclave,FWD,4,Automatic,38980,"Engine, 3.6L Variable Valve Timing V6 DI Direct Injection (288 hp [214.7 kW] @ 6300 rpm, 270 lb-ft of torque [364.5 N-m] @ 3400 rpm)",39790,810,Wagon,44115,OH,0,0,1,0,0,FWD 4dr CXL-1,1620868,1952,-81.6742,41.496936,79580.0,40600.0
20MAR2010,20MAR2010,487336518,2009,Toyota,56865,Corolla,FWD,4,Manual,15450,1.8L DOHC SFI 16-valve VVT-i 4-cyl engine,19585,760,Sedan,72342,AR,1500,1000,1,0,0,4dr Sdn Man (Natl),1546573,1644,-90.60124300000001,34.533018,39170.0,23720.0
09JAN2010,09JAN2010,269078526,2009,Ford,58029,F-150,4WD,4,Automatic,46570,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),47545,975,Truck,30571,GA,0,1500,1,0,0,"4WD SuperCrew 157"" Platinum",1584518,1924,-83.716475,34.743332,95090.0,48520.0
26DEC2009,26DEC2009,209294724,2009,Ford,58029,F-150,4WD,4,Automatic,38655,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),41680,975,Truck,44143,OH,0,1500,1,0,0,"4WD SuperCrew 157"" FX4",1584503,1924,-81.479949,41.555719,83360.0,44705.0
23JAN2010,23JAN2010,317901779,2010,Volvo,60570,C30,FWD,2,Automatic,24700,2.5L DOHC turbo I5 engine,25575,875,Coupe,75045,TX,0,0,1,0,0,2dr Cpe Auto w/Moonroof,1618803,1963,-96.68293299999999,32.945848,51150.0,26450.0
20FEB2010,20FEB2010,399218979,2009,Ford,58029,F-150,RWD,4,Automatic,32260,4.6L 3V EFI V8 engine,33235,975,Truck,28360,NC,0,2000,1,0,0,"2WD SuperCrew 145"" XLT",1584313,1924,-79.00897900000001,34.618316,66470.0,34210.0
05DEC2009,05DEC2009,138639223,2009,Ford,58029,F-150,RWD,4,Automatic,43425,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),44550,975,Truck,75049,TX,0,1500,1,0,0,"2WD SuperCrew 157"" Platinum",1584368,1924,-96.60296,32.858943,89100.0,45675.0
01MAY2010,01MAY2010,626491623,2010,Toyota,60384,Camry,FWD,4,Automatic,26725,2.5L 4-cyl engine w/VVT-i,28385,760,Sedan,91326,CA,1000,750,0,0,1,4dr Sdn I4 Auto XLE (Natl),1613428,1644,-118.543741,34.276626,56770.0,30045.0
27MAR2010,27MAR2010,512597157,2010,Ford,61827,Transit Connect,FWD,4,Automatic,21290,2.0L DOHC SEFI I4 engine,26590,825,Van,37212,TN,0,0,1,0,0,"114.6"" XL w/o side or rear door glass",1633118,1924,-86.802764,36.133012,53180.0,31890.0
28NOV2009,28NOV2009,133698910,2009,Ford,58029,F-150,4WD,4,Automatic,46270,5.4L 3V EFI V8 FFV engine -inc: electronic-shift-on-the fly (ESOF),47245,975,Truck,44663,OH,0,1500,1,0,0,"4WD SuperCrew 145"" Platinum",1584483,1924,-81.442532,40.48604,94490.0,48220.0
08MAY2010,08MAY2010,650211763,2010,Volkswagen,61839,Tiguan,FWD,4,Automatic,30425,"2.0L TSI turbocharged I4 engine -inc: intercooler, FSI direct fuel injection",31245,820,SUV,28039,NC,0,0,0,1,0,2WD 4dr SE w/Sunroof & Navi,1632983,1619,-80.43316,35.678327,62490.0,32065.0
08MAY2010,08MAY2010,644874586,2010,Hyundai,60726,Sonata,FWD,4,Automatic,20395,2.4L DOHC 16-valve I4 GDI engine,25695,750,Sedan,30119,GA,0,0,0,1,0,4dr Sdn 2.4L Auto GLS,1664683,1557,-85.13233000000001,33.589126,51390.0,30995.0
